lon_min,lon_max,lat_min,lat_max,area,num_pop,pop_density
0.0,0.09,51.0,51.09,62.96599567165123,5453.080527752929,86.60357816287234
0.0,0.09,51.09,51.18000000000001,62.84358197791469,17298.416896647246,275.2614722490911
0.0,0.09,51.18000000000001,51.27000000000001,62.72101322415898,23071.40927780037,367.8417820730244
0.0,0.09,51.27000000000001,51.360000000000014,62.5982897128201,22958.675236776613,366.76202084918447
0.0,0.09,51.360000000000014,51.45000000000002,62.475411746684564,242568.94916163804,3882.6306602854947
0.0,0.09,51.45000000000002,51.54000000000002,62.35237962896363,493496.6738663565,7914.640576718579
0.0,0.09,51.54000000000002,51.630000000000024,62.229193663227335,491059.4688876584,7891.143046866068
0.0,0.09,51.630000000000024,51.72000000000003,62.10585415339897,61888.27318069322,996.4966108964811
0.0,0.09,51.72000000000003,51.81000000000003,61.98236140384032,37971.135862857016,612.6119593195168
0.0,0.09,51.81000000000003,51.900000000000034,61.85871571923291,8921.107645172493,144.21747269477777
0.0,0.09,51.900000000000034,51.99000000000004,61.73491740467746,3277.398081400001,53.08823951146459
0.0,0.09,51.99000000000004,52.08000000000004,61.61096676563228,4757.2726154038855,77.21470486740648
0.0,0.09,52.08000000000004,52.170000000000044,61.48686410792017,15051.789484082452,244.79683103799107
0.0,0.09,52.170000000000044,52.26000000000005,61.36260973777231,19885.160259949418,324.05988508192354
0.0,0.09,52.26000000000005,52.35000000000005,61.238203961752475,13134.339537042939,214.47950278303801
0.0,0.09,52.35000000000005,52.440000000000055,61.11364708684802,8101.425077098036,132.56327290670737
0.0,0.09,52.440000000000055,52.53000000000006,60.98893942035924,17008.07972703554,278.87154439281704
0.0,0.09,52.53000000000006,52.62000000000006,60.864081270013926,15925.838009571917,261.66234135564196
0.0,0.09,52.62000000000006,52.710000000000065,60.73907294388824,4551.210060560967,74.9305157285731
0.0,0.09,52.710000000000065,52.80000000000007,60.61391475041016,3752.7586033921602,61.912493506563465
0.09,0.18,51.0,51.09,62.96599567165095,22531.45602962754,357.8353012493032
0.09,0.18,51.09,51.18000000000001,62.84358197791496,5177.729983447131,82.39075209409188
0.09,0.18,51.18000000000001,51.27000000000001,62.72101322415967,4817.518102670577,76.80867790597019
0.09,0.18,51.27000000000001,51.360000000000014,62.59828971281887,27944.70571914508,446.41324622999355
0.09,0.18,51.360000000000014,51.45000000000002,62.47541174668579,148292.89619179087,2373.6201498449113
0.09,0.18,51.45000000000002,51.54000000000002,62.35237962896278,284582.91276456916,4564.106686192614
0.09,0.18,51.54000000000002,51.630000000000024,62.22919366322813,286390.61392317386,4602.190661075608
0.09,0.18,51.630000000000024,51.72000000000003,62.10585415339799,24143.66498657627,388.7502283913971
0.09,0.18,51.72000000000003,51.81000000000003,61.98236140384083,75544.86693634086,1218.8123399193307
0.09,0.18,51.81000000000003,51.900000000000034,61.858715719232535,51046.717741567205,825.2146386818089
0.09,0.18,51.900000000000034,51.99000000000004,61.73491740467721,4692.98487733334,76.018322768142
0.09,0.18,51.99000000000004,52.08000000000004,61.61096676563266,3003.326451815704,48.74662108842278
0.09,0.18,52.08000000000004,52.170000000000044,61.48686410791982,25195.94198422355,409.77763868393777
0.09,0.18,52.170000000000044,52.26000000000005,61.36260973777297,164944.27948678465,2688.025822103357
0.09,0.18,52.26000000000005,52.35000000000005,61.23820396175215,9636.321038106027,157.35799573946736
0.09,0.18,52.35000000000005,52.440000000000055,61.11364708684792,11265.166831701505,184.33144426305802
0.09,0.18,52.440000000000055,52.53000000000006,60.98893942036014,2929.565237960826,48.03436927750279
0.09,0.18,52.53000000000006,52.62000000000006,60.864081270013145,12722.780372909614,209.03593888926315
0.09,0.18,52.62000000000006,52.710000000000065,60.73907294388775,36841.77276065959,606.5580354625255
0.09,0.18,52.710000000000065,52.80000000000007,60.613914750409975,11115.785675651312,183.3866979458892
0.18,0.27,51.0,51.09,62.96599567164866,10386.185553800224,164.94911964803174
0.18,0.27,51.09,51.18000000000001,62.843581977917154,57502.532768482764,915.0104268195406
0.18,0.27,51.18000000000001,51.27000000000001,62.72101322415875,23624.68118580086,376.6629391232658
0.18,0.27,51.27000000000001,51.360000000000014,62.59828971281908,31392.071458761926,501.484491074416
0.18,0.27,51.360000000000014,51.45000000000002,62.475411746685445,81355.80132098607,1302.2051243272085
0.18,0.27,51.45000000000002,51.54000000000002,62.35237962896308,78628.47545559371,1261.0340763814295
0.18,0.27,51.54000000000002,51.630000000000024,62.22919366322809,178055.5813056043,2861.2869751969693
0.18,0.27,51.630000000000024,51.72000000000003,62.105854153397594,9889.580283580413,159.23748925751454
0.18,0.27,51.72000000000003,51.81000000000003,61.98236140384125,4223.770203435318,68.1447125887262
0.18,0.27,51.81000000000003,51.900000000000034,61.85871571923279,13458.813803427991,217.57344372481768
0.18,0.27,51.900000000000034,51.99000000000004,61.734917404677304,14421.172179266705,233.59830685015373
0.18,0.27,51.99000000000004,52.08000000000004,61.610966765632135,22701.587508168963,368.46666591884053
0.18,0.27,52.08000000000004,52.170000000000044,61.48686410792094,3837.176055862801,62.40643609873875
0.18,0.27,52.170000000000044,52.26000000000005,61.36260973777235,16142.950819968511,263.074710951082
0.18,0.27,52.26000000000005,52.35000000000005,61.23820396175272,8316.088442682008,135.799025847916
0.18,0.27,52.35000000000005,52.440000000000055,61.1136470868486,24451.301440423966,400.0956023075537
0.18,0.27,52.440000000000055,52.53000000000006,60.98893942035761,1486.811537415687,24.378379941452163
0.18,0.27,52.53000000000006,52.62000000000006,60.86408127001539,6565.257424313861,107.8675186960922
